,SO2,NOx,CO,NMVOC,NH3,PM10,PM2.5,CH4,CO2,N2O,BC,OC
1309,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
1310,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
1463,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
1616,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
1617,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
1770,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
1771,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
1924,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
2077,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
2078,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
2231,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
2384,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
2385,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
2538,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
2691,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
2692,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
2845,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
2998,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
2999,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
3152,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
3305,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
3306,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
3459,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
3460,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
3613,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
3766,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
3767,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
3920,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
3921,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
4074,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
4075,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
4228,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
4381,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
4382,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
4535,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
4536,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
4689,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
4842,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
4843,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
4996,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
5149,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
5150,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
5303,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
5456,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
5609,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
5610,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
5763,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
5916,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
5917,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
6070,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
6223,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
6376,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
6377,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
6530,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
6683,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
6836,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
6989,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
6990,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
7143,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
7296,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
7449,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
7602,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
7603,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
7756,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
7909,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
8062,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
8215,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
8216,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
8369,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
8522,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
8675,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
8676,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
8829,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
8982,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
9135,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
9288,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
9289,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
9442,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
9595,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
9748,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
9901,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
9902,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
10055,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
10208,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
10361,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
10514,,0.4484273065750515,0.12116596415032954,0.052656236756918925,7.926745318245859e-05,0.05820495847969101,0.054354825039400166,0.0020383059389775067,,0.014041663135178378,0.017325600481308805,0.005548721722772101
